ep_info,queen_id,season,contestant,rank,real_name,age,ep_1,ep_2,ep_3,ep_4,ep_5,ep_6,ep_7,ep_8,ep_9,ep_10,ep_11,ep_12,ep_13,ep_14,ep_15,ep_16,hometown,url_end
NA,111,10,Eureka,2nd/3rd (Runners-Up),David Huggard,27,SAFE,BTM2,HIGH,SAFE,WIN,WIN,HIGH Mini Chall. Winner,SAFE,BTM2,HIGH Mini Chall. Winner,HIGH,TOP 4,RUNNING,LOST 3RD ROUND,NA,NA,"Johnson City, TN",Eureka
NA,116,10,Kameron Michaels,2nd/3rd (Runners-Up),Dane Young,31,SAFE,HIGH TEAM,LOW,HIGH,SAFE,HIGH,SAFE,WIN,BTM2,BTM2,BTM2,TOP 4,RUNNING,LOST 3RD ROUND,NA,NA,"Nashville, TN",Kameron_Michaels
NA,117,10,Asia O'Hara,4th,Antwan Mason Lee,35,SAFE,HIGH Team Captain,WIN,LOW,SAFE,HIGH Mini Chall. Winner,LOW,BTM2 Mini Chall. Winner,WIN,HIGH,HIGH Mini Chall. Winner,TOP 4,RUNNING,LOST 1ST ROUND,NA,NA,"Dallas, TX",Asia_O%27Hara
NA,118,10,Miz Cracker,5th,Maxwell Heller,33,HIGH,HIGH TEAM,SAFE,HIGH,HIGH,LOW,SAFE,SAFE,LOW,WIN,ELIM,,GUEST,GUEST,NA,NA,"Harlem, NY",Miz_Cracker
NA,119,10,Monét X Change,6th (Miss Congeniality),Kevin Bertin,27,SAFE Mini Chall. Winner,HIGH TEAM,SAFE Team Captain,BTM2,BTM2,HIGH,HIGH,HIGH,HIGH,ELIM,,,GUEST,MISS CON,NA,NA,"The Bronx, NY",Monét_X_Change
NA,120,10,The Vixen,7th,Anthony Taylor,26,SAFE,WIN Team Captain,SAFE,SAFE,LOW Mini Chall. Winner,BTM2,BTM2,ELIM,,,,,GUEST + WALKED OUT,GUEST,NA,NA,"Chicago, IL",The_Vixen
NA,121,10,Monique Heart,8th,Kevin Richardson,31,SAFE,LOW,SAFE Team Captain,SAFE,HIGH,SAFE,ELIM,,,,,,GUEST,GUEST,NA,NA,"Kansas City, MO",Monique_Heart
NA,122,10,Blair St. Clair,9th,Andrew Bryson,22,HIGH,HIGH TEAM,HIGH Team Captain,SAFE,SAFE,ELIM,,,,,,,GUEST,GUEST,NA,NA,"Indianapolis, IN",Blair_St._Clair
NA,123,10,Mayhem Miller,10th,Dequan Johnson,35,WIN,HIGH TEAM,BTM2,SAFE,ELIM,,,,,,,,GUEST,GUEST,NA,NA,"Riverside, CA",Mayhem_Miller
NA,124,10,Dusty Ray Bottoms,11th,Dustin Rayburn,29,LOW,HIGH,SAFE,ELIM,,,,,,,,,GUEST,GUEST,NA,NA,"New York, NY",Dusty_Ray_Bottoms
